ID,Name,Jira issue,Skill Libraries,Selected library,Selected library: Skills accuracy
PRO-5,Get beverage,https://halodi.atlassian.net/browse/SS-31,,,
PRO-2,Go in office,https://halodi.atlassian.net/browse/SS-25,"coha f patrol g door open door turn close door (https://www.notion.so/coha-f-patrol-g-door-open-door-turn-close-door-242848e85242402c8553d508213b48f5?pvs=21), coha go in office test jun 1 (https://www.notion.so/coha-go-in-office-test-jun-1-53adff2a41c046618d38e563518b18c4?pvs=21), coha go in office (https://www.notion.so/coha-go-in-office-d15674ea433b42cf9232861205931138?pvs=21)",coha f patrol g door open door turn close door (https://www.notion.so/coha-f-patrol-g-door-open-door-turn-close-door-242848e85242402c8553d508213b48f5?pvs=21),
